,0
0,0.42200323926425654
1,0.4308808581864901
2,0.4519435524635375
3,0.4393091379137884
4,0.439976731871846
5,0.42961846360841593
6,0.43254596402635387
7,0.4356145587595617
8,0.43047489140289186
9,0.42815797716915505
10,0.4088278169446431
11,0.42542287641748705
12,0.41508709602184785
13,0.41440746928330685
14,0.4126868796359688
15,0.4096383471613121
16,0.4070542617303459
17,0.40198686315640597
18,0.39219872322007643
19,0.3908275027008083
20,0.37450375146975506
21,0.3765785465846744
22,0.3718909226752541
23,0.36627994209360937
24,0.367989642436555
25,0.3716062129225629
26,0.36464798746277416
27,0.36679320612691746
28,0.36963009386269213
29,0.3626031495232165
30,0.36554573565706716
31,0.3587778834133187
32,0.3612849855482182
33,0.3368404072376105
34,0.33707261800107935
35,0.33545420020865013
36,0.32428062676082053
37,0.33883277703374515
38,0.34241420878875267
39,0.33798481195568814
40,0.3224658045438916
41,0.3285959597401662
42,0.3171280442521672
43,0.3249197983593976
44,0.3275118673012211
45,0.3147740953166644
46,0.3135932579582349
47,0.31952771044276007
48,0.32322562648717856
49,0.32118430172899165
50,0.31375174148203044
51,0.3171082899083882
52,0.31632033933534337
53,0.31047515248082447
54,0.3072481601040263
55,0.29953150024813463
56,0.2982359041778625
57,0.2954266071171543
58,0.29975229694965017
59,0.2976112215909944
60,0.3001206828981026
61,0.2956432675342552
62,0.2949805282445181
63,0.2931463057612178
64,0.29392123133378256
65,0.30392714445074415
66,0.29305669506041604
67,0.29079652489891744
68,0.2924308586692527
69,0.28971244948871794
70,0.291841210643951
71,0.2900653952532893
72,0.2896066201941104
73,0.28827186209295846
74,0.2869169066075926
75,0.28292741418060374
76,0.2865325942532262
77,0.28709413949759854
78,0.29084378727496135
79,0.2949280071692341
80,0.2910090045199223
81,0.2865313511487854
82,0.29162454798656445
83,0.29220567936160907
84,0.28628290957408725
85,0.2877361891841581
86,0.28824373617894733
87,0.2861661059432479
88,0.2832367960439844
89,0.28021696759162534
90,0.28313894507038195
91,0.2848725212918822
92,0.2791983335793682
93,0.27889551282269387
94,0.2755408615998863
95,0.2740132938835021
96,0.2750131580893782
97,0.27222720899699016
98,0.2747662687918558
99,0.2721756002416614
100,0.26962088644431165
101,0.2711581385223623
102,0.27110531857674347
103,0.27067324961010836
104,0.2696457644557856
105,0.2687864567046126
106,0.26784960252204454
107,0.26753317064626686
108,0.2676797357388253
109,0.267599560300273
110,0.2670858545297754
111,0.2672456525122339
112,0.2689199934222041
113,0.2682973472957304
114,0.268549516667031
115,0.26745770674867414
116,0.2643123460773421
117,0.2623785311231884
118,0.2594706359742997
119,0.25892236549182773
120,0.25740973002546186
121,0.2580279157079216
122,0.25712991631428855
123,0.25750828827455735
124,0.25754949308661335
125,0.25677672788920525
126,0.25622623698579916
127,0.2559975491776923
128,0.2544588622184925
129,0.25275499365968995
130,0.2509175214388259
131,0.25081662180689
132,0.25314652400881377
133,0.25237334695100544
134,0.25060265951996746
135,0.24954337759330275
136,0.24890225644776198
137,0.2479973355650434
138,0.24758926487372887
139,0.24736897534474783
140,0.24591894497295252
141,0.24630096489335374
142,0.24584811011207225
143,0.24567919124306048
144,0.24452710094102065
145,0.24360050828246374
146,0.24155432520369238
147,0.24239262701244998
148,0.24245231975423848
149,0.24223341086793346
150,0.24586688369940268
151,0.24598707772986214
152,0.24596321536603125
153,0.24575767523924447
154,0.24675085997849297
155,0.24484024160695186
156,0.24389491314127462
157,0.24720211238895812
158,0.24570831940886548
159,0.2458057610781135
160,0.24694436764677763
161,0.24645741058533566
162,0.243148341007317
163,0.24297109307757142
164,0.2422136435557352
165,0.2412463151301998
166,0.23935898492254196
167,0.2395288918105072
168,0.2378643691245856
169,0.2376370540449778
170,0.2361945443108335
171,0.2358270070418433
172,0.23489563127321236
173,0.23468084538316933
174,0.23503953347403064
175,0.23488706003235638
176,0.23581918810775046
177,0.23548575112569578
178,0.2361923290990282
179,0.23616047672055882
180,0.23589704820844418
181,0.23522887347622742
182,0.235112438456774
183,0.23450652646661643
184,0.2347130662381112
185,0.23719946151339877
186,0.23844986824399655
187,0.239978244919693
188,0.23958048400395587
189,0.2394329995863607
190,0.2377274769758703
191,0.2376566685626181
192,0.2380218103953103
193,0.2386765942591341
194,0.23815563316448507
195,0.23645942490520397
196,0.2370217827733057
197,0.2371995216518689
198,0.23612258538822856
199,0.23804498571798982
200,0.23828258834658447
201,0.23723114408413493
202,0.2374546862066509
203,0.23667246401633532
204,0.23824459881172816
205,0.23825231452178197
206,0.2371700910825494
207,0.23870095335207564
208,0.2394808792460573
209,0.23965590650980031
210,0.23983563986130502
211,0.23972578456354354
212,0.23998821676711207
213,0.23949910740697317
214,0.23934998508276073
215,0.24016072971569666
216,0.24113267467265326
217,0.24114415490697483
218,0.24053081399657758
219,0.24118419337843203
220,0.24286647258426652
221,0.24202699624181068
222,0.2424690149994955
223,0.24219184736207025
224,0.24150568808173228
225,0.24036905937134145
226,0.2400557044948483
227,0.23934078174543502
228,0.23833173764206847
229,0.2382195873850302
230,0.2378803641393594
231,0.2379586148067178
232,0.23869258965983706
233,0.2383731699403617
234,0.2378997061272398
235,0.23811606441067054
236,0.2378407413661956
237,0.23780938229587076
238,0.2374156416406208
239,0.23847416696725648
240,0.23803554384808207
241,0.23817275419845277
242,0.2368833171691631
243,0.23678292569624662
244,0.2376013668869685
245,0.23537548551576246
246,0.2350556915206857
247,0.23550021627621237
248,0.235341917139642
249,0.23542823793976128
250,0.235080047966309
251,0.23512720752589658
252,0.23493157111358007
253,0.2340179978704977
254,0.23373765355305798
255,0.2334796688754918
256,0.2339956440330549
257,0.233797624044231
258,0.2351276397916346
259,0.23657659012576682
260,0.23596391128492697
261,0.23640635361886292
262,0.23572141507300765
263,0.23600326863142934
264,0.23638801942893112
265,0.23767270607948762
266,0.2391875093827189
267,0.23883928545875574
268,0.2394703828358661
269,0.2397106029554782
270,0.23950716084136203
271,0.23924250722432072
272,0.23829876577441833
273,0.23752642176723116
274,0.23686002604580608
275,0.23634412799931886
276,0.2360574633882976
277,0.23637928789889232
278,0.23665010550177804
279,0.2374501455863776
280,0.23820461737368884
281,0.2382361166689988
282,0.2386099091431905
283,0.23794546604268654
284,0.23659046585962917
285,0.23604117791210769
286,0.23509477124020794
287,0.23382035783097654
288,0.23425352388904502
289,0.2343488646556559
290,0.23347285314216304
291,0.23258817532247558
292,0.23213043712822432
293,0.23150546100914282
294,0.23080745968336397
295,0.23095308107532322
296,0.2301827790842642
297,0.2300191470763894
298,0.22992896367717555
299,0.22976115377975911
300,0.2300006282903412
301,0.2294310174463942
302,0.22875230806186772
303,0.22810802063978697
304,0.22819480332603648
305,0.22858908120048577
306,0.2279422480493024
307,0.22773675069909266
308,0.22823169434816287
309,0.227392344670642
310,0.22680388120812328
311,0.22667251903524452
312,0.2263759414641798
313,0.22607964389942695
314,0.22560066636740483
315,0.22555173934341363
316,0.22538723555654802
317,0.2251476931153977
318,0.22455266052234021
319,0.2244306858889328
320,0.22449491321830572
321,0.22449491321830572
322,0.22449491321830572
323,0.22449491321830572
324,0.22449491321830572
325,0.22449491321830572
326,0.22449491321830572
327,0.22449491321830572
328,0.22449491321830572
329,0.22449491321830572
